OBS,DX_CD,DX_DSC
325,C164,Malignant neoplasm of pylorus
326,C165,"Malignant neoplasm of lesser curvature of stomach, unspecified"
327,C166,"Malignant neoplasm of greater curvature of stomach, unspecified"
328,C168,Malignant neoplasm of overlapping sites of stomach
329,C169,"Malignant neoplasm of stomach, unspecified"
330,C170,Malignant neoplasm of duodenum
331,C171,Malignant neoplasm of jejunum
332,C172,Malignant neoplasm of ileum
333,C173,"Meckel's diverticulum, malignant"
334,C178,Malignant neoplasm of overlapping sites of small intestine
335,C179,"Malignant neoplasm of small intestine, unspecified"
336,C180,Malignant neoplasm of cecum
337,C181,Malignant neoplasm of appendix
338,C182,Malignant neoplasm of ascending colon
339,C183,Malignant neoplasm of hepatic flexure
340,C184,Malignant neoplasm of transverse colon
341,C185,Malignant neoplasm of splenic flexure
342,C186,Malignant neoplasm of descending colon
343,C187,Malignant neoplasm of sigmoid colon
344,C188,Malignant neoplasm of overlapping sites of colon
345,C189,"Malignant neoplasm of colon, unspecified"
346,C19,Malignant neoplasm of rectosigmoid junction
347,C20,Malignant neoplasm of rectum
348,C210,"Malignant neoplasm of anus, unspecified"
349,C211,Malignant neoplasm of anal canal
350,C212,Malignant neoplasm of cloacogenic zone
351,C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal"
352,C220,Liver cell carcinoma
353,C221,Intrahepatic bile duct carcinoma
354,C222,Hepatoblastoma
355,C223,Angiosarcoma of liver
356,C224,Other sarcomas of liver
357,C227,Other specified carcinomas of liver
358,C228,"Malignant neoplasm of liver, primary, unspecified as to type"
359,C229,"Malignant neoplasm of liver, not specified as primary or secondary"
360,C23,Malignant neoplasm of gallbladder
361,C240,Malignant neoplasm of extrahepatic bile duct
362,C241,Malignant neoplasm of ampulla of Vater
363,C248,Malignant neoplasm of overlapping sites of biliary tract
364,C249,"Malignant neoplasm of biliary tract, unspecified"
365,C250,Malignant neoplasm of head of pancreas
366,C251,Malignant neoplasm of body of pancreas
367,C252,Malignant neoplasm of tail of pancreas
368,C253,Malignant neoplasm of pancreatic duct
